name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"ashland, KS",2018-06-09T00:00:00,23.9,23.9,15,57.67,0,0,,0,0,,24.1,160,1011.7,0,16,0,,0,,Clear,clear-night,"72451013985,KDDC"
"ashland, KS",2018-06-09T01:00:00,23.4,23.4,15,59.43,0,0,,0,0,,24.1,160,1011.8,0,16,0,,0,,Clear,clear-night,"72451013985,KDDC"
"ashland, KS",2018-06-09T02:00:00,22.2,22.2,15.7,66.44,0,0,,0,0,,22.3,160,1011.4,0,16,0,,0,,Clear,clear-night,"72451013985,KDDC"
"ashland, KS",2018-06-09T03:00:00,21.7,21.7,15.7,68.5,0,0,,0,0,,24.1,150,1010.8,0,16,0,,0,,Clear,clear-night,"72451013985,KDDC"
"ashland, KS",2018-06-09T04:00:00,21.2,21.2,15.7,70.84,0,0,,0,0,,18.4,160,1010.6,0,14,0,,0,,Clear,clear-night,"72451013985,KDDC"
"ashland, KS",2018-06-09T05:00:00,21.2,21.2,16.2,73.14,0,0,,0,0,,22.3,170,1011.2,0,14,0,,0,,Clear,clear-night,"72451013985,KDDC"
"ashland, KS",2018-06-09T06:00:00,20.7,20.7,16.2,75.42,0,0,,0,0,,20.5,170,1011.4,0,14,13,0,0,,Clear,clear-night,"72451013985,KDDC"
"ashland, KS",2018-06-09T07:00:00,20.7,20.7,16.2,75.42,0,0,,0,0,,16.6,190,1012.2,0,13,24,0.1,0,,Clear,clear-day,"C9785,72451013985,KDDC"
"ashland, KS",2018-06-09T08:00:00,22.9,22.9,16.2,65.94,0,0,,0,0,,18.4,190,1012.5,0,14,168,0.6,2,,Clear,clear-day,"C9785,72451013985,KDDC"
"ashland, KS",2018-06-09T09:00:00,26.2,26.2,12.9,43.73,0,0,,0,0,,24.1,190,1012.4,0,14,303,1.1,3,,Clear,clear-day,"C9785,72451013985,KDDC"
"ashland, KS",2018-06-09T10:00:00,29.3,28.4,11.7,33.64,0,0,,0,0,,25.9,210,1011.9,0,16,448,1.6,4,,Clear,clear-day,"C9785,72451013985,KDDC"
"ashland, KS",2018-06-09T11:00:00,31.7,30.3,11.2,28.35,0,0,,0,0,44.6,31.7,200,1011.2,0,16,707,2.5,7,,Clear,clear-day,"C9785,72451013985,KDDC"
"ashland, KS",2018-06-09T12:00:00,32.9,31.6,12.2,28.47,0,0,,0,0,47.9,27.7,200,1011,0,16,847,3,8,,Clear,clear-day,"C9785,72451013985,KDDC"
"ashland, KS",2018-06-09T13:00:00,34.4,33.1,12.2,26.18,0,0,,0,0,42.5,31.7,200,1010.6,0,16,924,3.3,9,,Clear,clear-day,"C9785,72451013985,KDDC"
"ashland, KS",2018-06-09T14:00:00,36.2,34.7,11.2,22.11,0,0,,0,0,44.6,25.9,180,1009.8,0,16,945,3.4,9,,Clear,clear-day,"C9785,72451013985,KDDC"
"ashland, KS",2018-06-09T15:00:00,37.2,36,11.7,21.65,0,0,,0,0,50,35.3,170,1008.6,0,16,913,3.3,9,,Clear,clear-day,"C9785,72451013985,KDDC"
